M,K,N,It1,Max,Status
512,512,512,153.475,147,PASS
512,512,1024,207.625,199,PASS
512,512,4096,590.45,562,PASS
512,512,8192,1208.3,1074,PASS
512,1024,512,,,FAIL
512,1024,1024,315.4,305,PASS
512,1024,4096,1057.03,1040,PASS
512,1024,8192,2207.48,2140,PASS
512,4096,512,541.4,527,PASS
512,4096,1024,994.125,981,PASS
512,4096,4096,3927.57,3834,PASS
512,4096,8192,9389.35,8468,PASS
512,6144,512,767.425,762,PASS
512,6144,1024,1774.07,1420,PASS
512,6144,4096,6348.67,5912,PASS
512,6144,8192,14657.2,12897,PASS
1024,512,512,208.7,199,PASS
1024,512,1024,340.275,305,PASS
1024,512,4096,1046.8,1029,PASS
1024,512,8192,2103.38,2056,PASS
1024,1024,512,317.3,309,PASS
1024,1024,1024,543.2,524,PASS
1024,1024,4096,2308.77,2023,PASS
1024,1024,8192,4533.45,3955,PASS
1024,4096,512,1078.82,988,PASS
1024,4096,1024,2202.18,2058,PASS
1024,4096,4096,7814.08,7388,PASS
1024,4096,8192,18361.2,16532,PASS
1024,6144,512,1516.62,1397,PASS
1024,6144,1024,2758.52,2728,PASS
1024,6144,4096,12185,11605,PASS
1024,6144,8192,28102,25147,PASS
4096,512,512,544.8,532,PASS
4096,512,1024,1048.5,998,PASS
4096,512,4096,4231.5,3808,PASS
4096,512,8192,8445.88,7958,PASS
4096,1024,512,1418.15,1295,PASS
4096,1024,1024,2233.7,1989,PASS
4096,1024,4096,7539.4,7381,PASS
4096,1024,8192,16829.5,15930,PASS
4096,4096,512,3949.4,3684,PASS
4096,4096,1024,7576.3,7268,PASS
4096,4096,4096,30502.1,29563,PASS
4096,4096,8192,70467.3,63126,PASS
4096,6144,512,5713.23,5473,PASS
4096,6144,1024,11516.9,10884,PASS
4096,6144,4096,47031.1,45508,PASS
4096,6144,8192,113030,96544,PASS
8192,512,512,1004.05,990,PASS
8192,512,1024,1889.85,1875,PASS
8192,512,4096,7766.1,7444,PASS
8192,512,8192,16376.5,15828,PASS
8192,1024,512,1894.18,1884,PASS
8192,1024,1024,3885.98,3678,PASS
8192,1024,4096,15539.2,14711,PASS
8192,1024,8192,32121.2,30281,PASS
8192,4096,512,7866.98,7177,PASS
8192,4096,1024,15063.7,14243,PASS
8192,4096,4096,60194.3,59236,PASS
8192,4096,8192,138276,121525,PASS
8192,6144,512,11268.5,10634,PASS
8192,6144,1024,21618.3,21211,PASS
8192,6144,4096,92274.1,88734,PASS
8192,6144,8192,207828,184278,PASS
