M,K,N,It1,Max,Status,shuffle_time
512,512,512,138.625,129,PASS,1996
512,512,1024,158.475,147,PASS,3449
512,512,4096,386.7,376,PASS,9647
512,512,8192,769.525,757,PASS,18728
512,1024,512,167.25,164,PASS,4612
512,1024,1024,221.125,212,PASS,6744
512,1024,4096,610.2,587,PASS,20460
512,1024,8192,1127.35,1115,PASS,40290
512,4096,512,350.225,340,PASS,17524
512,4096,1024,597.5,592,PASS,26984
512,4096,4096,2213.25,2194,PASS,87961
512,4096,8192,4335.8,4265,PASS,170272
512,6144,512,501.425,493,PASS,26603
512,6144,1024,945.875,932,PASS,42711
512,6144,4096,3553.12,3455,PASS,131985
512,6144,8192,7519.9,7093,PASS,248314
1024,512,512,165.075,155,PASS,3295
1024,512,1024,223.575,212,PASS,4537
1024,512,4096,636.425,609,PASS,11060
1024,512,8192,1405.18,1341,PASS,20245
1024,1024,512,221.775,206,PASS,6596
1024,1024,1024,341.675,333,PASS,8552
1024,1024,4096,1426.68,1408,PASS,22357
1024,1024,8192,2174.82,2149,PASS,42375
1024,4096,512,618.825,616,PASS,26386
1024,4096,1024,1123.85,1100,PASS,35435
1024,4096,4096,4575.98,4265,PASS,97432
1024,4096,8192,8888.53,8494,PASS,175809
1024,6144,512,928.675,909,PASS,42970
1024,6144,1024,1765.43,1742,PASS,59695
1024,6144,4096,7279.3,6794,PASS,150027
1024,6144,8192,14928.2,14404,PASS,259826
4096,512,512,516.55,504,PASS,9794
4096,512,1024,765.3,745,PASS,11075
4096,512,4096,2775.77,2383,PASS,17375
4096,512,8192,5767.7,5405,PASS,26723
4096,1024,512,803,774,PASS,20535
4096,1024,1024,1262.45,1242,PASS,23158
4096,1024,4096,4270.98,4236,PASS,34841
4096,1024,8192,8713.25,8360,PASS,56120
4096,4096,512,2293.88,2246,PASS,88489
4096,4096,1024,4594.55,4295,PASS,96598
4096,4096,4096,17424.7,16760,PASS,156604
4096,4096,8192,34404,33627,PASS,235764
4096,6144,512,3662.05,3522,PASS,132785
4096,6144,1024,7325.23,6815,PASS,146777
4096,6144,4096,29960.5,27446,PASS,300720
4096,6144,8192,57352.3,56396,PASS,351158
8192,512,512,984.075,973,PASS,18707
8192,512,1024,1457.12,1442,PASS,19592
8192,512,4096,5010.6,4781,PASS,25658
8192,512,8192,11505.8,10727,PASS,34529
8192,1024,512,1776.8,1472,PASS,40754
8192,1024,1024,2426.52,2405,PASS,41980
8192,1024,4096,8976.78,8537,PASS,55415
8192,1024,8192,17670.7,16869,PASS,75797
8192,4096,512,4808.3,4495,PASS,165177
8192,4096,1024,9057.15,8639,PASS,177560
8192,4096,4096,33761.1,33273,PASS,236110
8192,4096,8192,68251.7,67572,PASS,307667
8192,6144,512,7493.58,7160,PASS,248837
8192,6144,1024,14072.2,13451,PASS,268807
8192,6144,4096,55238.3,54232,PASS,377792
8192,6144,8192,114886,114154,PASS,468725
