M,K,N,It1,Max,Status,shuffle_time
512,512,512,138.4,131,PASS,2011
512,512,1024,175.15,169,PASS,3784
512,512,4096,431.15,423,PASS,9980
512,512,8192,959.4,945,PASS,19729
512,1024,512,176.2,166,PASS,4872
512,1024,1024,250.05,243,PASS,6708
512,1024,4096,737.525,712,PASS,21308
512,1024,8192,1516.28,1497,PASS,42052
512,4096,512,445.65,431,PASS,17498
512,4096,1024,783.95,776,PASS,27271
512,4096,4096,3057.85,3019,PASS,84494
512,4096,8192,6877.5,6599,PASS,161287
512,6144,512,835.8,790,PASS,30565
512,6144,1024,2021.25,1729,PASS,44026
512,6144,4096,6692.05,6292,PASS,132050
512,6144,8192,13702.9,12937,PASS,248200
1024,512,512,178.55,175,PASS,4115
1024,512,1024,251.7,239,PASS,4860
1024,512,4096,777.3,766,PASS,14138
1024,512,8192,2163.75,1721,PASS,20485
1024,1024,512,249.475,235,PASS,6799
1024,1024,1024,397.075,388,PASS,8620
1024,1024,4096,1622.45,1355,PASS,22707
1024,1024,8192,3299.62,3003,PASS,44340
1024,4096,512,774.2,766,PASS,27727
1024,4096,1024,1854,1633,PASS,35717
1024,4096,4096,6642.48,6410,PASS,95520
1024,4096,8192,13676.5,12979,PASS,166928
1024,6144,512,1978.62,1685,PASS,43529
1024,6144,1024,3570.82,3161,PASS,59215
1024,6144,4096,13668.5,12940,PASS,149074
1024,6144,8192,26565.7,25975,PASS,272071
4096,512,512,546.475,522,PASS,9764
4096,512,1024,851.975,837,PASS,11820
4096,512,4096,3236.9,2857,PASS,17242
4096,512,8192,6902.62,6523,PASS,27379
4096,1024,512,856.025,829,PASS,21151
4096,1024,1024,1885.65,1498,PASS,22591
4096,1024,4096,5585.52,5296,PASS,35468
4096,1024,8192,12033.3,11230,PASS,57236
4096,4096,512,3277.9,3241,PASS,84918
4096,4096,1024,7114.35,6784,PASS,96246
4096,4096,4096,26473,25956,PASS,150823
4096,4096,8192,52156.1,51600,PASS,220025
4096,6144,512,6903.58,6498,PASS,130916
4096,6144,1024,13506.6,13038,PASS,146774
4096,6144,4096,50722.7,49966,PASS,232046
4096,6144,8192,102736,101917,PASS,343248
8192,512,512,1048.03,1028,PASS,19300
8192,512,1024,1639.72,1627,PASS,20676
8192,512,4096,5934.73,5703,PASS,28017
8192,512,8192,14151.1,13429,PASS,35486
8192,1024,512,1627.8,1607,PASS,43287
8192,1024,1024,3185.62,2835,PASS,46618
8192,1024,4096,10771.9,10267,PASS,59864
8192,1024,8192,23006.8,22412,PASS,81322
8192,4096,512,6799.33,6384,PASS,161651
8192,4096,1024,13400,12610,PASS,166578
8192,4096,4096,50840.2,50126,PASS,225496
8192,4096,8192,102591,102055,PASS,298257
8192,6144,512,13516.3,12858,PASS,253251
8192,6144,1024,25399.7,24815,PASS,264506
8192,6144,4096,103086,102315,PASS,350679
8192,6144,8192,210275,209385,PASS,466787
