M,K,N,It1,Status
512,512,512,1318.95,PASS
512,512,1024,2468.2,PASS
512,512,2560,4786.45,PASS
512,512,4096,6678,PASS
512,1024,512,2385.65,PASS
512,1024,1024,3905.95,PASS
512,1024,2560,3937.25,PASS
512,1024,4096,6040.4,PASS
512,2560,512,4922.15,FAIL
512,2560,1024,4333.05,PASS
512,2560,2560,9872.6,PASS
512,2560,4096,15162,FAIL
512,4096,512,6582.70,FAIL
512,4096,1024,6482,FAIL
512,4096,2560,14572,FAIL
512,4096,4096,25995,FAIL
1024,512,512,2299.9,PASS
1024,512,1024,3537.9,PASS
1024,512,2560,3932.65,PASS
1024,512,4096,5992.65,PASS
1024,1024,512,3448,PASS
1024,1024,1024,6513.9,PASS
1024,1024,2560,7427.4,PASS
1024,1024,4096,11861.5,PASS
1024,2560,512,4330.05,PASS
1024,2560,1024,8263.7,PASS
1024,2560,2560,18375.7,PASS
1024,2560,4096,29171.2,PASS
1024,4096,512,6730,FAIL
1024,4096,1024,13189,FAIL
1024,4096,2560,29313,FAIL
1024,4096,4096,48199,FAIL
2560,512,512,4905.8,PASS
2560,512,1024,4268,PASS
2560,512,2560,9516.15,PASS
2560,512,4096,14711.6,PASS
2560,1024,512,3922.55,PASS
2560,1024,1024,7561.7,PASS
2560,1024,2560,17869.5,PASS
2560,1024,4096,28477.1,PASS
2560,2560,512,9419.5,PASS
2560,2560,1024,18351.2,PASS
2560,2560,2560,45754.7,PASS
2560,2560,4096,70132.5,PASS
2560,4096,512,14913,FAIL
2560,4096,1024,29132,FAIL
2560,4096,2560,72599,FAIL
2560,4096,4096,113536,FAIL
4096,512,512,6490.55,PASS
4096,512,1024,5958.65,PASS
4096,512,2560,14651.7,PASS
4096,512,4096,23448.1,PASS
4096,1024,512,5975.35,PASS
4096,1024,1024,11558.7,PASS
4096,1024,2560,28522.5,PASS
4096,1024,4096,46259.8,PASS
4096,2560,512,14898,FAIL
4096,2560,1024,28792.6,PASS
4096,2560,2560,69939.9,PASS
4096,2560,4096,113561,PASS
4096,4096,512,25748,FAIL
4096,4096,1024,47803,FAIL
4096,4096,2560,113586,FAIL
4096,4096,4096,178956,FAIL
