M,K,N,It1,Status
512,512,512,1040.3,PASS
512,512,1024,1679,PASS
512,512,2560,3047.05,PASS
512,512,4096,3930.4,PASS
512,1024,512,1679.9,PASS
512,1024,1024,2452.15,PASS
512,1024,2560,1121.3,PASS
512,1024,4096,1420.5,PASS
512,2560,512,,FAIL
512,2560,1024,1120.25,PASS
512,2560,2560,2445.05,PASS
512,2560,4096,3859.8,PASS
512,4096,512,3933.15,PASS
512,4096,1024,1773.9,PASS
512,4096,2560,3635.85,PASS
512,4096,4096,6905.65,PASS
1024,512,512,1804.95,PASS
1024,512,1024,2311.25,PASS
1024,512,2560,927.5,PASS
1024,512,4096,1408.7,PASS
1024,1024,512,2224.9,PASS
1024,1024,1024,3776.1,PASS
1024,1024,2560,1900.75,PASS
1024,1024,4096,2888.7,PASS
1024,2560,512,1697.6,PASS
1024,2560,1024,2625.2,PASS
1024,2560,2560,4279,PASS
1024,2560,4096,6039.7,PASS
1024,4096,512,1982.55,PASS
1024,4096,1024,3875.1,PASS
1024,4096,2560,5851.15,PASS
1024,4096,4096,10848.3,PASS
2560,512,512,3088.7,PASS
2560,512,1024,914.15,PASS
2560,512,2560,2121.95,PASS
2560,512,4096,3284.75,PASS
2560,1024,512,1100.55,PASS
2560,1024,1024,1680.7,PASS
2560,1024,2560,4085.75,PASS
2560,1024,4096,5506.15,PASS
2560,2560,512,2238.75,PASS
2560,2560,1024,3844.6,PASS
2560,2560,2560,9309.85,PASS
2560,2560,4096,12905,PASS
2560,4096,512,3550.15,PASS
2560,4096,1024,5626.4,PASS
2560,4096,2560,14979.2,PASS
2560,4096,4096,22631.2,PASS
4096,512,512,3938.2,PASS
4096,512,1024,1295.45,PASS
4096,512,2560,3239.1,PASS
4096,512,4096,4886.45,PASS
4096,1024,512,1324.65,PASS
4096,1024,1024,2400,PASS
4096,1024,2560,5488.55,PASS
4096,1024,4096,9244.2,PASS
4096,2560,512,3462.4,PASS
4096,2560,1024,5845.5,PASS
4096,2560,2560,12462.4,PASS
4096,2560,4096,22352.7,PASS
4096,4096,512,6964.15,PASS
4096,4096,1024,10424.8,PASS
4096,4096,2560,22177.2,PASS
4096,4096,4096,33645.8,PASS
