M,K,N,It1,Status
512,512,512,1572.5,PASS
512,512,1024,2762.95,PASS
512,512,2560,5552.8,PASS
512,512,4096,8180.45,PASS
512,1024,512,2581.95,PASS
512,1024,1024,4747.9,PASS
512,1024,2560,7727.05,PASS
512,1024,4096,12150.5,PASS
512,2560,512,5630.50,FAIL
512,2560,1024,8159.25,PASS
512,2560,2560,19067.1,PASS
512,2560,4096,30116,FAIL
512,4096,512,8242.60,FAIL
512,4096,1024,12642,FAIL
512,4096,2560,30242,FAIL
512,4096,4096,48712,FAIL
1024,512,512,2720.2,PASS
1024,512,1024,4457.35,PASS
1024,512,2560,7692.4,PASS
1024,512,4096,12172.3,PASS
1024,1024,512,4414.15,PASS
1024,1024,1024,8349.7,PASS
1024,1024,2560,15245.5,PASS
1024,1024,4096,24395.7,PASS
1024,2560,512,8283.85,PASS
1024,2560,1024,15688.3,PASS
1024,2560,2560,37469.6,PASS
1024,2560,4096,58827.9,PASS
1024,4096,512,12504,FAIL
1024,4096,1024,24832,FAIL
1024,4096,2560,58909,FAIL
1024,4096,4096,94609,FAIL
2560,512,512,5524.1,PASS
2560,512,1024,7971.15,PASS
2560,512,2560,19047.2,PASS
2560,512,4096,29724.2,PASS
2560,1024,512,8022.25,PASS
2560,1024,1024,15413.3,PASS
2560,1024,2560,37119.1,PASS
2560,1024,4096,58790.9,PASS
2560,2560,512,19262.2,PASS
2560,2560,1024,37051.8,PASS
2560,2560,2560,91784.3,PASS
2560,2560,4096,145013,PASS
2560,4096,512,30385,FAIL
2560,4096,1024,58786,FAIL
2560,4096,2560,145987,FAIL
2560,4096,4096,231909,FAIL
4096,512,512,8130.05,PASS
4096,512,1024,12394.4,PASS
4096,512,2560,30046.4,PASS
4096,512,4096,47408,PASS
4096,1024,512,12081,PASS
4096,1024,1024,23888.2,PASS
4096,1024,2560,58266.1,PASS
4096,1024,4096,93563.9,PASS
4096,2560,512,29888,FAIL
4096,2560,1024,58569.2,PASS
4096,2560,2560,144460,PASS
4096,2560,4096,231845,PASS
4096,4096,512,48501,FAIL
4096,4096,1024,94675,FAIL
4096,4096,2560,231979,FAIL
4096,4096,4096,369167,FAIL
