M,K,N,It1,Status
512,512,512,1462,PASS
512,512,1024,2758.45,PASS
512,512,2560,5643.2,PASS
512,512,4096,8261.95,PASS
512,1024,512,2704.4,PASS
512,1024,1024,4691.1,PASS
512,1024,2560,7801.2,PASS
512,1024,4096,12433.3,PASS
512,2560,512,5741.95,PASS
512,2560,1024,8240.35,PASS
512,2560,2560,19740.7,PASS
512,2560,4096,30677.4,PASS
512,4096,512,8286.5,PASS
512,4096,1024,12672,PASS
512,4096,2560,30772.8,PASS
512,4096,4096,49395.4,PASS
1024,512,512,2876.9,PASS
1024,512,1024,4558.3,PASS
1024,512,2560,8194.2,PASS
1024,512,4096,12220.2,PASS
1024,1024,512,4448.25,PASS
1024,1024,1024,8324,PASS
1024,1024,2560,15314.8,PASS
1024,1024,4096,24187.2,PASS
1024,2560,512,8349.2,PASS
1024,2560,1024,16059.7,PASS
1024,2560,2560,37940.9,PASS
1024,2560,4096,59798.9,PASS
1024,4096,512,12417.7,PASS
1024,4096,1024,25183.1,PASS
1024,4096,2560,59568.6,PASS
1024,4096,4096,96119.1,PASS
2560,512,512,5789.1,PASS
2560,512,1024,8051,PASS
2560,512,2560,19420.9,PASS
2560,512,4096,30294.9,PASS
2560,1024,512,7902.05,PASS
2560,1024,1024,15603.1,PASS
2560,1024,2560,37451.3,PASS
2560,1024,4096,59399.7,PASS
2560,2560,512,19395.3,PASS
2560,2560,1024,37532.5,PASS
2560,2560,2560,93384.9,PASS
2560,2560,4096,147053,PASS
2560,4096,512,30597.7,PASS
2560,4096,1024,59853,PASS
2560,4096,2560,148496,PASS
2560,4096,4096,235792,PASS
4096,512,512,8200,PASS
4096,512,1024,12257,PASS
4096,512,2560,30338.7,PASS
4096,512,4096,48070.5,PASS
4096,1024,512,12414.4,PASS
4096,1024,1024,24390.2,PASS
4096,1024,2560,59339.6,PASS
4096,1024,4096,95117.6,PASS
4096,2560,512,30692.6,PASS
4096,2560,1024,59617.9,PASS
4096,2560,2560,146947,PASS
4096,2560,4096,235771,PASS
4096,4096,512,49195.4,PASS
4096,4096,1024,96024,PASS
4096,4096,2560,235676,PASS
4096,4096,4096,375233,PASS
