M,K,N,It1,Status
512,512,512,1332.15,PASS
512,512,1024,2042.5,PASS
512,512,2560,3931.9,PASS
512,512,4096,5699.5,PASS
512,1024,512,1984.7,PASS
512,1024,1024,3222.3,PASS
512,1024,2560,4510.2,PASS
512,1024,4096,6852.4,PASS
512,2560,512,4231.10,FAIL
512,2560,1024,4711.8,PASS
512,2560,2560,10693.2,PASS
512,2560,4096,17047,FAIL
512,4096,512,5622.40,FAIL
512,4096,1024,7330,FAIL
512,4096,2560,17150,FAIL
512,4096,4096,28271,FAIL
1024,512,512,2033.05,PASS
1024,512,1024,3211.45,PASS
1024,512,2560,4689.7,PASS
1024,512,4096,7299.35,PASS
1024,1024,512,3142.15,PASS
1024,1024,1024,5644.45,PASS
1024,1024,2560,9109,PASS
1024,1024,4096,13529.9,PASS
1024,2560,512,4862.65,PASS
1024,2560,1024,9190.4,PASS
1024,2560,2560,21176.4,PASS
1024,2560,4096,33432.2,PASS
1024,4096,512,7362,FAIL
1024,4096,1024,14357,FAIL
1024,4096,2560,33394,FAIL
1024,4096,4096,53489,FAIL
2560,512,512,3926.7,PASS
2560,512,1024,4677.8,PASS
2560,512,2560,11061.5,PASS
2560,512,4096,17123.4,PASS
2560,1024,512,4578.7,PASS
2560,1024,1024,8502.65,PASS
2560,1024,2560,20826.1,PASS
2560,1024,4096,33378.6,PASS
2560,2560,512,11042.8,PASS
2560,2560,1024,21316.2,PASS
2560,2560,2560,52185.2,PASS
2560,2560,4096,81050,PASS
2560,4096,512,16973,FAIL
2560,4096,1024,33480,FAIL
2560,4096,2560,82459,FAIL
2560,4096,4096,130128,FAIL
4096,512,512,5511.85,PASS
4096,512,1024,7283.1,PASS
4096,512,2560,17223.5,PASS
4096,512,4096,27158.9,PASS
4096,1024,512,7072.6,PASS
4096,1024,1024,13729.2,PASS
4096,1024,2560,33118.1,PASS
4096,1024,4096,53056.1,PASS
4096,2560,512,16864,FAIL
4096,2560,1024,33234.6,PASS
4096,2560,2560,80849,PASS
4096,2560,4096,130084,PASS
4096,4096,512,28361,FAIL
4096,4096,1024,53822,FAIL
4096,4096,2560,130033,FAIL
4096,4096,4096,206268,FAIL
