M,K,N,It1,Status
512,512,512,2467.95,PASS
512,512,1024,3879.7,PASS
512,512,2560,8952.5,PASS
512,512,4096,13366,PASS
512,1024,512,3792.85,PASS
512,1024,1024,7280.8,PASS
512,1024,2560,14031.8,PASS
512,1024,4096,22403.7,PASS
512,2560,512,9000.25,FAIL
512,2560,1024,14331,PASS
512,2560,2560,34584.6,PASS
512,2560,4096,55152,FAIL
512,4096,512,13131.60,FAIL
512,4096,1024,22627,FAIL
512,4096,2560,55047,FAIL
512,4096,4096,88723,FAIL
1024,512,512,4003.35,PASS
1024,512,1024,6970.7,PASS
1024,512,2560,14044.3,PASS
1024,512,4096,22289,PASS
1024,1024,512,7115.85,PASS
1024,1024,1024,13511.8,PASS
1024,1024,2560,28025.6,PASS
1024,1024,4096,44201.1,PASS
1024,2560,512,14357.5,PASS
1024,2560,1024,28498.8,PASS
1024,2560,2560,68385.8,PASS
1024,2560,4096,108767,PASS
1024,4096,512,22583,FAIL
1024,4096,1024,45220,FAIL
1024,4096,2560,108724,FAIL
1024,4096,4096,174602,FAIL
2560,512,512,8942.6,PASS
2560,512,1024,14518.9,PASS
2560,512,2560,34695.6,PASS
2560,512,4096,54646.1,PASS
2560,1024,512,14003.2,PASS
2560,1024,1024,27986.8,PASS
2560,1024,2560,68582,PASS
2560,1024,4096,108679,PASS
2560,2560,512,34996.9,PASS
2560,2560,1024,68470.5,PASS
2560,2560,2560,170092,PASS
2560,2560,4096,269681,PASS
2560,4096,512,55275,FAIL
2560,4096,1024,108731,FAIL
2560,4096,2560,271294,FAIL
2560,4096,4096,431924,FAIL
4096,512,512,13417.9,PASS
4096,512,1024,22394.2,PASS
4096,512,2560,54673.6,PASS
4096,512,4096,87230.4,PASS
4096,1024,512,22387.2,PASS
4096,1024,1024,44199.3,PASS
4096,1024,2560,108415,PASS
4096,1024,4096,173651,PASS
4096,2560,512,55049,FAIL
4096,2560,1024,108614,PASS
4096,2560,2560,269542,PASS
4096,2560,4096,432148,PASS
4096,4096,512,88510,FAIL
4096,4096,1024,174421,FAIL
4096,4096,2560,432005,FAIL
4096,4096,4096,689160,FAIL
