M,K,N,It1,Status
512,512,512,1563.6,PASS
512,512,1024,2744.1,PASS
512,512,2560,5601.05,PASS
512,512,4096,8103.85,PASS
512,1024,512,2642.75,PASS
512,1024,1024,4617.35,PASS
512,1024,2560,7659.2,PASS
512,1024,4096,11821.2,PASS
512,2560,512,5720.35,FAIL
512,2560,1024,7931.85,PASS
512,2560,2560,18093.3,PASS
512,2560,4096,28654,FAIL
512,4096,512,8026.90,FAIL
512,4096,1024,11822,FAIL
512,4096,2560,28700,FAIL
512,4096,4096,46493,FAIL
1024,512,512,2478.15,PASS
1024,512,1024,4450.2,PASS
1024,512,2560,7583.35,PASS
1024,512,4096,11918.7,PASS
1024,1024,512,4432.65,PASS
1024,1024,1024,8157.45,PASS
1024,1024,2560,14551.7,PASS
1024,1024,4096,23115.4,PASS
1024,2560,512,7721.75,PASS
1024,2560,1024,14816.1,PASS
1024,2560,2560,35550.6,PASS
1024,2560,4096,56101.6,PASS
1024,4096,512,11854,FAIL
1024,4096,1024,23813,FAIL
1024,4096,2560,56059,FAIL
1024,4096,4096,90508,FAIL
2560,512,512,5594.75,PASS
2560,512,1024,7639.35,PASS
2560,512,2560,18262.2,PASS
2560,512,4096,28547,PASS
2560,1024,512,7723.6,PASS
2560,1024,1024,14498.2,PASS
2560,1024,2560,35337.4,PASS
2560,1024,4096,55784.2,PASS
2560,2560,512,18265.3,PASS
2560,2560,1024,35426.2,PASS
2560,2560,2560,87797.5,PASS
2560,2560,4096,137916,PASS
2560,4096,512,28745,FAIL
2560,4096,1024,55978,FAIL
2560,4096,2560,139650,FAIL
2560,4096,4096,221408,FAIL
4096,512,512,8098.15,PASS
4096,512,1024,11484.7,PASS
4096,512,2560,28389.2,PASS
4096,512,4096,45174.2,PASS
4096,1024,512,11608.5,PASS
4096,1024,1024,22933.6,PASS
4096,1024,2560,55720.2,PASS
4096,1024,4096,89520.2,PASS
4096,2560,512,28488,FAIL
4096,2560,1024,55970.4,PASS
4096,2560,2560,137839,PASS
4096,2560,4096,221431,PASS
4096,4096,512,46372,FAIL
4096,4096,1024,90142,FAIL
4096,4096,2560,221522,FAIL
4096,4096,4096,352288,FAIL
