M,K,N,It1,Status
512,512,512,1625.3,PASS
512,512,1024,2848.6,PASS
512,512,2560,6176.95,PASS
512,512,4096,8799.8,PASS
512,1024,512,,FAIL
512,1024,1024,5054.35,PASS
512,1024,2560,6905.75,PASS
512,1024,4096,10508.3,PASS
512,2560,512,6180.65,PASS
512,2560,1024,7305.1,PASS
512,2560,2560,16929.6,PASS
512,2560,4096,26824.2,PASS
512,4096,512,8881.65,PASS
512,4096,1024,11004.6,PASS
512,4096,2560,26537.1,PASS
512,4096,4096,43997.9,PASS
1024,512,512,3142.3,PASS
1024,512,1024,4741.45,PASS
1024,512,2560,7137.15,PASS
1024,512,4096,10995.8,PASS
1024,1024,512,4927.3,PASS
1024,1024,1024,8726.85,PASS
1024,1024,2560,13206.3,PASS
1024,1024,4096,20996.2,PASS
1024,2560,512,7268.35,PASS
1024,2560,1024,13987.8,PASS
1024,2560,2560,32658.3,PASS
1024,2560,4096,51755.6,PASS
1024,4096,512,11321.5,PASS
1024,4096,1024,22486.1,PASS
1024,4096,2560,51546.2,PASS
1024,4096,4096,84134.1,PASS
2560,512,512,6127.5,PASS
2560,512,1024,6768.15,PASS
2560,512,2560,16579.4,PASS
2560,512,4096,25942.7,PASS
2560,1024,512,6779.2,PASS
2560,1024,1024,13061.5,PASS
2560,1024,2560,32384.7,PASS
2560,1024,4096,51122.9,PASS
2560,2560,512,16634.3,PASS
2560,2560,1024,32511.2,PASS
2560,2560,2560,80769.8,PASS
2560,2560,4096,126131,PASS
2560,4096,512,26451.2,PASS
2560,4096,1024,51412.8,PASS
2560,4096,2560,128934,PASS
2560,4096,4096,203590,PASS
4096,512,512,8823.8,PASS
4096,512,1024,10531.5,PASS
4096,512,2560,25837.9,PASS
4096,512,4096,41515.6,PASS
4096,1024,512,10532.8,PASS
4096,1024,1024,20736.4,PASS
4096,1024,2560,51036,PASS
4096,1024,4096,82160.4,PASS
4096,2560,512,26618.8,PASS
4096,2560,1024,51684.1,PASS
4096,2560,2560,126307,PASS
4096,2560,4096,203641,PASS
4096,4096,512,43688.6,PASS
4096,4096,1024,84112.9,PASS
4096,4096,2560,203791,PASS
4096,4096,4096,323220,PASS
