M,K,N,It1,Max,Status,shuffle_time
512,512,512,1577.15,174,PASS,1126
512,512,1024,2569.73,217.00,FAIL,2304.00
512,512,4096,1259.07,672,PASS,8467
512,512,8192,2356.6,1243,PASS,18188
512,1024,512,2676.65,241.00,FAIL,2360.00
512,1024,1024,2821.55,363.00,FAIL,4283.00
512,1024,4096,1906,1500,FAIL,18158
512,1024,8192,2946,2232,FAIL,39846
512,4096,512,3116.20,637.00,FAIL,9102.00
512,4096,1024,3723.40,1154.00,FAIL,18200.00
512,4096,4096,6646,4604,FAIL,78100
512,4096,8192,11367,9597,FAIL,161942
512,8192,512,4025.73,1608.00,FAIL,18337.00
512,8192,1024,5552.70,3301.00,FAIL,37890.00
512,8192,4096,14123,12057,FAIL,154032
512,8192,8192,26864,24381,FAIL,329283
1024,512,512,2535.73,244.00,FAIL,2479.00
1024,512,1024,2867.00,384.00,FAIL,2210.00
1024,512,4096,1845.97,1311,PASS,8590
1024,512,8192,3176.18,2436,PASS,19636
1024,1024,512,2727.62,350.00,FAIL,2716.00
1024,1024,1024,3041.20,644.00,FAIL,4276.00
1024,1024,4096,2678,2229,FAIL,17916
1024,1024,8192,5413,4660,FAIL,39563
1024,4096,512,3641.07,1140.00,FAIL,9004.00
1024,4096,1024,4870.67,2539.00,FAIL,18900.00
1024,4096,4096,11104,9090,FAIL,79040
1024,4096,8192,20573,18132,FAIL,157890
1024,8192,512,5436.12,2998.00,FAIL,18118.00
1024,8192,1024,8211.17,6146.00,FAIL,37914.00
1024,8192,4096,26655,24500,FAIL,154207
1024,8192,8192,50000,47804,FAIL,324719
4096,512,512,1655.12,749,PASS,1158
4096,512,1024,2082.4,1318,PASS,2308
4096,512,4096,5584.15,4738,PASS,8980
4096,512,8192,10233.1,9587,PASS,18661
4096,1024,512,1949.07,1284,PASS,2389
4096,1024,1024,3040.25,2527,PASS,4477
4096,1024,4096,9998.22,8708,PASS,18134
4096,1024,8192,18393.4,17451,PASS,39521
4096,4096,512,6597,4580,FAIL,9154
4096,4096,1024,11086,9122,FAIL,18458
4096,4096,4096,38004,35868,FAIL,77362
4096,4096,8192,73344,72376,FAIL,158908
4096,8192,512,13959,12358,FAIL,18246
4096,8192,1024,25757,23514,FAIL,38539
4096,8192,4096,92246,90308,FAIL,154327
4096,8192,8192,181890,178826,FAIL,348006
8192,512,512,2114.77,1582,PASS,1166
8192,512,1024,3237.73,2780,PASS,2311
8192,512,4096,9881.92,9439,PASS,8844
8192,512,8192,20768.8,18967,PASS,17870
8192,1024,512,3082.32,2455,PASS,2381
8192,1024,1024,5406,4441,FAIL,4317
8192,1024,4096,18236,17322,FAIL,19512
8192,1024,8192,36871,34941,FAIL,41908
8192,4096,512,11442,8937,FAIL,9067
8192,4096,1024,20371,17902,FAIL,18716
8192,4096,4096,72962,70954,FAIL,77232
8192,4096,8192,143618,141392,FAIL,157621
8192,8192,512,26032,23316,FAIL,18032
8192,8192,1024,47111,45010,FAIL,38819
8192,8192,4096,183694,181408,FAIL,153427
8192,8192,8192,362499,358932,FAIL,326198
