M,K,N,It1,Status
512,512,512,1324.45,PASS
512,512,1024,2441.1,PASS
512,512,2560,4784,PASS
512,512,4096,6535.15,PASS
512,1024,512,,FAIL
512,1024,1024,4059.5,PASS
512,1024,2560,3872.35,PASS
512,1024,4096,6001.3,PASS
512,2560,512,4854.9,PASS
512,2560,1024,4118.55,PASS
512,2560,2560,9411.9,PASS
512,2560,4096,14807.7,PASS
512,4096,512,6530.6,PASS
512,4096,1024,6349.85,PASS
512,4096,2560,14752.3,PASS
512,4096,4096,25236.5,PASS
1024,512,512,2241.6,PASS
1024,512,1024,3615.1,PASS
1024,512,2560,4221.3,PASS
1024,512,4096,6186.2,PASS
1024,1024,512,3695.65,PASS
1024,1024,1024,6462.55,PASS
1024,1024,2560,7497.9,PASS
1024,1024,4096,11375.7,PASS
1024,2560,512,4177.2,PASS
1024,2560,1024,8148.05,PASS
1024,2560,2560,17974.6,PASS
1024,2560,4096,28189.7,PASS
1024,4096,512,6603.7,PASS
1024,4096,1024,12833.5,PASS
1024,4096,2560,28162.9,PASS
1024,4096,4096,46589.6,PASS
2560,512,512,4712.1,PASS
2560,512,1024,3977,PASS
2560,512,2560,9435.35,PASS
2560,512,4096,14417.3,PASS
2560,1024,512,4130,PASS
2560,1024,1024,7622.8,PASS
2560,1024,2560,17689.9,PASS
2560,1024,4096,27849.7,PASS
2560,2560,512,9344.9,PASS
2560,2560,1024,17654.4,PASS
2560,2560,2560,44269.9,PASS
2560,2560,4096,67696.1,PASS
2560,4096,512,14464,PASS
2560,4096,1024,27932.2,PASS
2560,4096,2560,70251.2,PASS
2560,4096,4096,109770,PASS
4096,512,512,6393.55,PASS
4096,512,1024,5870.05,PASS
4096,512,2560,14183.5,PASS
4096,512,4096,22799.5,PASS
4096,1024,512,5741.15,PASS
4096,1024,1024,11203.5,PASS
4096,1024,2560,27670.9,PASS
4096,1024,4096,44890,PASS
4096,2560,512,14346.3,PASS
4096,2560,1024,28241.2,PASS
4096,2560,2560,67752.9,PASS
4096,2560,4096,109797,PASS
4096,4096,512,24910.5,PASS
4096,4096,1024,46511.9,PASS
4096,4096,2560,109815,PASS
4096,4096,4096,172814,PASS
