M,K,N,It1,Status
512,512,512,1079.1,PASS
512,512,1024,1690.05,PASS
512,512,2560,3701.75,PASS
512,512,4096,5119.05,PASS
512,1024,512,1917.75,PASS
512,1024,1024,3070.2,PASS
512,1024,2560,4017.5,PASS
512,1024,4096,6301.05,PASS
512,2560,512,3825.40,FAIL
512,2560,1024,4015.9,PASS
512,2560,2560,9339.05,PASS
512,2560,4096,15266,FAIL
512,4096,512,5385.70,FAIL
512,4096,1024,6587,FAIL
512,4096,2560,14867,FAIL
512,4096,4096,24922,FAIL
1024,512,512,1752.85,PASS
1024,512,1024,2970.4,PASS
1024,512,2560,3954.25,PASS
1024,512,4096,6103.6,PASS
1024,1024,512,2915.75,PASS
1024,1024,1024,5233.05,PASS
1024,1024,2560,7944.8,PASS
1024,1024,4096,11713.8,PASS
1024,2560,512,4178,PASS
1024,2560,1024,8053.15,PASS
1024,2560,2560,18771.9,PASS
1024,2560,4096,29052.5,PASS
1024,4096,512,6653,FAIL
1024,4096,1024,12747,FAIL
1024,4096,2560,29317,FAIL
1024,4096,4096,46734,FAIL
2560,512,512,3698.85,PASS
2560,512,1024,3965,PASS
2560,512,2560,9651.95,PASS
2560,512,4096,15184,PASS
2560,1024,512,4080.6,PASS
2560,1024,1024,7823.35,PASS
2560,1024,2560,18785.4,PASS
2560,1024,4096,29191.4,PASS
2560,2560,512,9469.45,PASS
2560,2560,1024,18326.3,PASS
2560,2560,2560,45677.1,PASS
2560,2560,4096,70429.6,PASS
2560,4096,512,14741,FAIL
2560,4096,1024,29327,FAIL
2560,4096,2560,72439,FAIL
2560,4096,4096,114023,FAIL
4096,512,512,5159.65,PASS
4096,512,1024,6065,PASS
4096,512,2560,14948.1,PASS
4096,512,4096,23520.3,PASS
4096,1024,512,6063.75,PASS
4096,1024,1024,11793.7,PASS
4096,1024,2560,28873.9,PASS
4096,1024,4096,46552.6,PASS
4096,2560,512,14910,FAIL
4096,2560,1024,29105.1,PASS
4096,2560,2560,70973.4,PASS
4096,2560,4096,114066,PASS
4096,4096,512,24928,FAIL
4096,4096,1024,47388,FAIL
4096,4096,2560,114184,FAIL
4096,4096,4096,180682,FAIL
