M,K,N,It1,Status
256,256,256,560.3,PASS
256,256,1280,1033.1,PASS
256,256,2304,1353.5,PASS
256,256,3328,1599.4,PASS
256,256,4352,2158.65,PASS
256,1280,256,,FAIL
256,1280,1280,2563.85,PASS
256,1280,2304,4646.5,PASS
256,1280,3328,2420,PASS
256,1280,4352,2984.1,PASS
256,2304,256,1423.05,PASS
256,2304,1280,4614.80,FAIL
256,2304,2304,2924.1,PASS
256,2304,3328,3910.35,PASS
256,2304,4352,4870,PASS
256,3328,256,1823.80,FAIL
256,3328,1280,2304,FAIL
256,3328,2304,4031,FAIL
256,3328,3328,5284,FAIL
256,3328,4352,6654,FAIL
256,4352,256,2080.65,FAIL
256,4352,1280,3109,FAIL
256,4352,2304,5084,FAIL
256,4352,3328,6680,FAIL
256,4352,4352,10673,FAIL
1280,256,256,1057.45,PASS
1280,256,1280,2651,PASS
1280,256,2304,4649.75,PASS
1280,256,3328,2785.95,PASS
1280,256,4352,3033.1,PASS
1280,1280,256,2627.8,PASS
1280,1280,1280,4127.2,PASS
1280,1280,2304,6346.85,PASS
1280,1280,3328,8982.3,PASS
1280,1280,4352,11527.2,PASS
1280,2304,256,4503.45,PASS
1280,2304,1280,7095.15,PASS
1280,2304,2304,11170.9,PASS
1280,2304,3328,15871.5,PASS
1280,2304,4352,20661.8,PASS
1280,3328,256,2439,FAIL
1280,3328,1280,10200,FAIL
1280,3328,2304,16113,FAIL
1280,3328,3328,22652,FAIL
1280,3328,4352,29501,FAIL
1280,4352,256,3083,FAIL
1280,4352,1280,12638,FAIL
1280,4352,2304,20660,FAIL
1280,4352,3328,29410,FAIL
1280,4352,4352,39949,FAIL
2304,256,256,1479.65,PASS
2304,256,1280,4408.25,PASS
2304,256,2304,2769.05,PASS
2304,256,3328,3411.1,PASS
2304,256,4352,4484.45,PASS
2304,1280,256,4515.15,PASS
2304,1280,1280,6465.1,PASS
2304,1280,2304,11057.7,PASS
2304,1280,3328,15460.2,PASS
2304,1280,4352,20325.6,PASS
2304,2304,256,3097.45,PASS
2304,2304,1280,11141.2,PASS
2304,2304,2304,20419.7,PASS
2304,2304,3328,27914.8,PASS
2304,2304,4352,36025.5,PASS
2304,3328,256,3955,FAIL
2304,3328,1280,15770,FAIL
2304,3328,2304,28798,FAIL
2304,3328,3328,39793,FAIL
2304,3328,4352,51424,FAIL
2304,4352,256,5296,FAIL
2304,4352,1280,20641,FAIL
2304,4352,2304,38049,FAIL
2304,4352,3328,51458,FAIL
2304,4352,4352,69490,FAIL
3328,256,256,1644.55,PASS
3328,256,1280,2170.75,PASS
3328,256,2304,3401.15,PASS
3328,256,3328,4729.3,PASS
3328,256,4352,6676.4,PASS
3328,1280,256,2496.55,PASS
3328,1280,1280,9126.55,PASS
3328,1280,2304,15522.6,PASS
3328,1280,3328,22159.4,PASS
3328,1280,4352,29040.9,PASS
3328,2304,256,4130.8,PASS
3328,2304,1280,15523.2,PASS
3328,2304,2304,27694.6,PASS
3328,2304,3328,39692.4,PASS
3328,2304,4352,51365.4,PASS
3328,3328,256,5830,FAIL
3328,3328,1280,23030,FAIL
3328,3328,2304,39619,FAIL
3328,3328,3328,58627,FAIL
3328,3328,4352,73595,FAIL
3328,4352,256,6782,FAIL
3328,4352,1280,29458,FAIL
3328,4352,2304,51811,FAIL
3328,4352,3328,75463,FAIL
3328,4352,4352,97372,FAIL
4352,256,256,2135.05,PASS
4352,256,1280,3215.35,PASS
4352,256,2304,5154.95,PASS
4352,256,3328,6819.35,PASS
4352,256,4352,8350.65,PASS
4352,1280,256,2904.1,PASS
4352,1280,1280,11405.8,PASS
4352,1280,2304,20286.6,PASS
4352,1280,3328,28824.4,PASS
4352,1280,4352,38464.9,PASS
4352,2304,256,4841.45,PASS
4352,2304,1280,20238.5,PASS
4352,2304,2304,35949.1,PASS
4352,2304,3328,50996.9,PASS
4352,2304,4352,68619,PASS
4352,3328,256,6916,FAIL
4352,3328,1280,29322,FAIL
4352,3328,2304,51366,FAIL
4352,3328,3328,73634,FAIL
4352,3328,4352,98073,FAIL
4352,4352,256,10604,FAIL
4352,4352,1280,39973,FAIL
4352,4352,2304,68664,FAIL
4352,4352,3328,97345,FAIL
4352,4352,4352,125982,FAIL
