M,K,N,It1,Status
256,256,256,511.2,PASS
256,256,1280,1143.05,PASS
256,256,2304,1400.9,PASS
256,256,3328,1707.3,PASS
256,256,4352,2197.45,PASS
256,1280,256,1151.6,PASS
256,1280,1280,,FAIL
256,1280,2304,,FAIL
256,1280,3328,,FAIL
256,1280,4352,,FAIL
256,2304,256,1519.55,PASS
256,2304,1280,,FAIL
256,2304,2304,,FAIL
256,2304,3328,,FAIL
256,2304,4352,,FAIL
256,3328,256,1831.7,PASS
256,3328,1280,3857.85,PASS
256,3328,2304,6601.55,PASS
256,3328,3328,8869.15,PASS
256,3328,4352,11385.1,PASS
256,4352,256,2089.25,PASS
256,4352,1280,5129.1,PASS
256,4352,2304,8175.3,PASS
256,4352,3328,11301.2,PASS
256,4352,4352,16260.8,PASS
1280,256,256,946.55,PASS
1280,256,1280,2597.3,PASS
1280,256,2304,4491.15,PASS
1280,256,3328,3904.7,PASS
1280,256,4352,4751.65,PASS
1280,1280,256,,FAIL
1280,1280,1280,,FAIL
1280,1280,2304,,FAIL
1280,1280,3328,,FAIL
1280,1280,4352,,FAIL
1280,2304,256,,FAIL
1280,2304,1280,,FAIL
1280,2304,2304,,FAIL
1280,2304,3328,,FAIL
1280,2304,4352,,FAIL
1280,3328,256,3596.5,PASS
1280,3328,1280,16930.5,PASS
1280,3328,2304,29121.7,PASS
1280,3328,3328,41314.6,PASS
1280,3328,4352,53528.1,PASS
1280,4352,256,5094.7,PASS
1280,4352,1280,22099.3,PASS
1280,4352,2304,37395.6,PASS
1280,4352,3328,53538.9,PASS
1280,4352,4352,70963.3,PASS
2304,256,256,1440.85,PASS
2304,256,1280,4555.65,PASS
2304,256,2304,4606.5,PASS
2304,256,3328,6577.6,PASS
2304,256,4352,8263.35,PASS
2304,1280,256,,FAIL
2304,1280,1280,,FAIL
2304,1280,2304,,FAIL
2304,1280,3328,,FAIL
2304,1280,4352,,FAIL
2304,2304,256,,FAIL
2304,2304,1280,,FAIL
2304,2304,2304,,FAIL
2304,2304,3328,,FAIL
2304,2304,4352,,FAIL
2304,3328,256,6448.4,PASS
2304,3328,1280,28700.6,PASS
2304,3328,2304,51960.4,PASS
2304,3328,3328,73173.1,PASS
2304,3328,4352,94930.1,PASS
2304,4352,256,8176.85,PASS
2304,4352,1280,37576.6,PASS
2304,4352,2304,67637.1,PASS
2304,4352,3328,95002.8,PASS
2304,4352,4352,125069,PASS
3328,256,256,1663.1,PASS
3328,256,1280,3908.45,PASS
3328,256,2304,6640.35,PASS
3328,256,3328,8771.2,PASS
3328,256,4352,11543.5,PASS
3328,1280,256,,FAIL
3328,1280,1280,,FAIL
3328,1280,2304,,FAIL
3328,1280,3328,,FAIL
3328,1280,4352,,FAIL
3328,2304,256,,FAIL
3328,2304,1280,,FAIL
3328,2304,2304,,FAIL
3328,2304,3328,,FAIL
3328,2304,4352,,FAIL
3328,3328,256,8691.45,PASS
3328,3328,1280,40811.6,PASS
3328,3328,2304,72909,PASS
3328,3328,3328,106202,PASS
3328,3328,4352,136333,PASS
3328,4352,256,11537,PASS
3328,4352,1280,53692.1,PASS
3328,4352,2304,95044.2,PASS
3328,4352,3328,137672,PASS
3328,4352,4352,179024,PASS
4352,256,256,2081.15,PASS
4352,256,1280,4895.3,PASS
4352,256,2304,8279.55,PASS
4352,256,3328,11435.9,PASS
4352,256,4352,14731.2,PASS
4352,1280,256,,FAIL
4352,1280,1280,,FAIL
4352,1280,2304,,FAIL
4352,1280,3328,,FAIL
4352,1280,4352,,FAIL
4352,2304,256,,FAIL
4352,2304,1280,,FAIL
4352,2304,2304,,FAIL
4352,2304,3328,,FAIL
4352,2304,4352,,FAIL
4352,3328,256,11572.7,PASS
4352,3328,1280,53425.2,PASS
4352,3328,2304,94974.7,PASS
4352,3328,3328,136682,PASS
4352,3328,4352,179295,PASS
4352,4352,256,16335.3,PASS
4352,4352,1280,70630.2,PASS
4352,4352,2304,125100,PASS
4352,4352,3328,179354,PASS
4352,4352,4352,233626,PASS
