M,K,N,It1,Status
256,256,256,455,PASS
256,256,1280,854.4,PASS
256,256,2304,1440.95,PASS
256,256,3328,1722.1,PASS
256,256,4352,1744.95,PASS
256,1280,256,,FAIL
256,1280,1280,2336.5,PASS
256,1280,2304,4235.95,PASS
256,1280,3328,1930.3,PASS
256,1280,4352,2341.4,PASS
256,2304,256,1324.80,FAIL
256,2304,1280,4036.35,FAIL
256,2304,2304,2542,FAIL
256,2304,3328,3465.8,PASS
256,2304,4352,3984.7,PASS
256,3328,256,1697.35,FAIL
256,3328,1280,1551,FAIL
256,3328,2304,3145,FAIL
256,3328,3328,3979,FAIL
256,3328,4352,5121,FAIL
256,4352,256,1891.50,FAIL
256,4352,1280,2064,FAIL
256,4352,2304,3692,FAIL
256,4352,3328,5263,FAIL
256,4352,4352,8714,FAIL
1280,256,256,916.35,PASS
1280,256,1280,2371.85,PASS
1280,256,2304,4041.35,PASS
1280,256,3328,1453.35,PASS
1280,256,4352,1877.5,PASS
1280,1280,256,2188.2,PASS
1280,1280,1280,3168.7,PASS
1280,1280,2304,5082.75,PASS
1280,1280,3328,6774.1,PASS
1280,1280,4352,8340.8,PASS
1280,2304,256,4058.50,FAIL
1280,2304,1280,5243,FAIL
1280,2304,2304,8325,FAIL
1280,2304,3328,11483,FAIL
1280,2304,4352,14774,FAIL
1280,3328,256,1682,FAIL
1280,3328,1280,7390,FAIL
1280,3328,2304,11283,FAIL
1280,3328,3328,16204,FAIL
1280,3328,4352,21495,FAIL
1280,4352,256,2384,FAIL
1280,4352,1280,9048,FAIL
1280,4352,2304,14621,FAIL
1280,4352,3328,20801,FAIL
1280,4352,4352,29923,FAIL
2304,256,256,1307.75,PASS
2304,256,1280,4034.85,PASS
2304,256,2304,1819.15,PASS
2304,256,3328,2606.7,PASS
2304,256,4352,2971.15,PASS
2304,1280,256,3997.65,PASS
2304,1280,1280,4856.65,PASS
2304,1280,2304,8445.1,PASS
2304,1280,3328,11700.5,PASS
2304,1280,4352,14752.8,PASS
2304,2304,256,2326,FAIL
2304,2304,1280,7799,FAIL
2304,2304,2304,14742,FAIL
2304,2304,3328,19709,FAIL
2304,2304,4352,26486,FAIL
2304,3328,256,3040,FAIL
2304,3328,1280,10685,FAIL
2304,3328,2304,20606,FAIL
2304,3328,3328,28078,FAIL
2304,3328,4352,37509,FAIL
2304,4352,256,3529,FAIL
2304,4352,1280,13918,FAIL
2304,4352,2304,27423,FAIL
2304,4352,3328,36708,FAIL
2304,4352,4352,50626,FAIL
3328,256,256,1490.15,PASS
3328,256,1280,1817.25,PASS
3328,256,2304,2891.6,PASS
3328,256,3328,3508.6,PASS
3328,256,4352,4493,PASS
3328,1280,256,1654.35,PASS
3328,1280,1280,6350.8,PASS
3328,1280,2304,11308.5,PASS
3328,1280,3328,16076.3,PASS
3328,1280,4352,21238.9,PASS
3328,2304,256,2857,FAIL
3328,2304,1280,11105,FAIL
3328,2304,2304,19654,FAIL
3328,2304,3328,28290,FAIL
3328,2304,4352,37205,FAIL
3328,3328,256,3693,FAIL
3328,3328,1280,15273,FAIL
3328,3328,2304,27621,FAIL
3328,3328,3328,41936,FAIL
3328,3328,4352,52879,FAIL
3328,4352,256,4529,FAIL
3328,4352,1280,19543,FAIL
3328,4352,2304,35920,FAIL
3328,4352,3328,53548,FAIL
3328,4352,4352,70761,FAIL
4352,256,256,1807.8,PASS
4352,256,1280,2099.8,PASS
4352,256,2304,3201.1,PASS
4352,256,3328,4663.65,PASS
4352,256,4352,5647.2,PASS
4352,1280,256,2248.75,PASS
4352,1280,1280,7926.65,PASS
4352,1280,2304,16712.8,PASS
4352,1280,3328,20843.9,PASS
4352,1280,4352,27871.1,PASS
4352,2304,256,3221,FAIL
4352,2304,1280,13878,FAIL
4352,2304,2304,25127,FAIL
4352,2304,3328,35507,FAIL
4352,2304,4352,49485,FAIL
4352,3328,256,4808,FAIL
4352,3328,1280,19383,FAIL
4352,3328,2304,35544,FAIL
4352,3328,3328,51289,FAIL
4352,3328,4352,69608,FAIL
4352,4352,256,7700,FAIL
4352,4352,1280,27645,FAIL
4352,4352,2304,47977,FAIL
4352,4352,3328,68318,FAIL
4352,4352,4352,90672,FAIL
