M,K,N,It1,Status
256,256,256,487.55,PASS
256,256,1280,1009,PASS
256,256,2304,1422.6,PASS
256,256,3328,1577.95,PASS
256,256,4352,1837.7,PASS
256,1280,256,,FAIL
256,1280,1280,2524.25,PASS
256,1280,2304,4487.9,PASS
256,1280,3328,2035.65,PASS
256,1280,4352,2711.7,PASS
256,2304,256,1305.9,PASS
256,2304,1280,4476.5,PASS
256,2304,2304,2475.85,PASS
256,2304,3328,3744.35,PASS
256,2304,4352,4472.1,PASS
256,3328,256,1676.45,PASS
256,3328,1280,1992.7,PASS
256,3328,2304,4015.35,PASS
256,3328,3328,4915.95,PASS
256,3328,4352,6142.35,PASS
256,4352,256,1990.1,PASS
256,4352,1280,2729.65,PASS
256,4352,2304,4604.95,PASS
256,4352,3328,6356.85,PASS
256,4352,4352,9985.1,PASS
1280,256,256,1020.5,PASS
1280,256,1280,2485.05,PASS
1280,256,2304,4372.7,PASS
1280,256,3328,2116.35,PASS
1280,256,4352,2652.5,PASS
1280,1280,256,2486.1,PASS
1280,1280,1280,3682.4,PASS
1280,1280,2304,6181.2,PASS
1280,1280,3328,8506.45,PASS
1280,1280,4352,10714.7,PASS
1280,2304,256,4522.35,PASS
1280,2304,1280,6057.7,PASS
1280,2304,2304,10369.7,PASS
1280,2304,3328,14198.6,PASS
1280,2304,4352,18786.6,PASS
1280,3328,256,2027.5,PASS
1280,3328,1280,9384.45,PASS
1280,3328,2304,14560.8,PASS
1280,3328,3328,20349.5,PASS
1280,3328,4352,26768.9,PASS
1280,4352,256,2641.7,PASS
1280,4352,1280,11650,PASS
1280,4352,2304,18629.9,PASS
1280,4352,3328,26969.8,PASS
1280,4352,4352,36668.8,PASS
2304,256,256,1249.35,PASS
2304,256,1280,4429.05,PASS
2304,256,2304,2499.25,PASS
2304,256,3328,3198.6,PASS
2304,256,4352,4061.95,PASS
2304,1280,256,4535.95,PASS
2304,1280,1280,6009.85,PASS
2304,1280,2304,10387.2,PASS
2304,1280,3328,14619.3,PASS
2304,1280,4352,18555.1,PASS
2304,2304,256,2731.8,PASS
2304,2304,1280,10352.2,PASS
2304,2304,2304,17876.8,PASS
2304,2304,3328,25518.7,PASS
2304,2304,4352,32905.8,PASS
2304,3328,256,3883.55,PASS
2304,3328,1280,14421.6,PASS
2304,3328,2304,25262,PASS
2304,3328,3328,36292.9,PASS
2304,3328,4352,46449.2,PASS
2304,4352,256,5044.35,PASS
2304,4352,1280,18874.3,PASS
2304,4352,2304,32960.9,PASS
2304,4352,3328,46875.1,PASS
2304,4352,4352,62760.6,PASS
3328,256,256,1785.8,PASS
3328,256,1280,2101,PASS
3328,256,2304,3472.4,PASS
3328,256,3328,4681.3,PASS
3328,256,4352,5550.8,PASS
3328,1280,256,2012.35,PASS
3328,1280,1280,8333.7,PASS
3328,1280,2304,14412.5,PASS
3328,1280,3328,21462.3,PASS
3328,1280,4352,26615.6,PASS
3328,2304,256,4094,PASS
3328,2304,1280,14372.5,PASS
3328,2304,2304,25456.7,PASS
3328,2304,3328,37147.4,PASS
3328,2304,4352,47071.4,PASS
3328,3328,256,5149.2,PASS
3328,3328,1280,20771.8,PASS
3328,3328,2304,36283.9,PASS
3328,3328,3328,53661.4,PASS
3328,3328,4352,66959.7,PASS
3328,4352,256,6403.5,PASS
3328,4352,1280,26945.5,PASS
3328,4352,2304,46853.6,PASS
3328,4352,3328,68684.7,PASS
3328,4352,4352,88607.9,PASS
4352,256,256,1948.35,PASS
4352,256,1280,2824.4,PASS
4352,256,2304,3979.95,PASS
4352,256,3328,5531.15,PASS
4352,256,4352,7451.05,PASS
4352,1280,256,2637.85,PASS
4352,1280,1280,10621.2,PASS
4352,1280,2304,18408.2,PASS
4352,1280,3328,26293.4,PASS
4352,1280,4352,35213.6,PASS
4352,2304,256,4937.55,PASS
4352,2304,1280,18894.4,PASS
4352,2304,2304,32928.5,PASS
4352,2304,3328,46755.8,PASS
4352,2304,4352,62857.1,PASS
4352,3328,256,6401.7,PASS
4352,3328,1280,26837.8,PASS
4352,3328,2304,46582.9,PASS
4352,3328,3328,66724.8,PASS
4352,3328,4352,88648.9,PASS
4352,4352,256,9953.6,PASS
4352,4352,1280,36788.1,PASS
4352,4352,2304,62536.5,PASS
4352,4352,3328,88575.4,PASS
4352,4352,4352,114613,PASS
