M,K,N,It1,Max,Status
512,512,512,152.225,142,PASS
512,512,1024,207.725,199,PASS
512,512,4096,562.1,554,PASS
512,512,8192,1318.82,1073,PASS
512,1024,512,,,FAIL
512,1024,1024,316.25,309,PASS
512,1024,4096,1103.45,1026,PASS
512,1024,8192,2404.95,2141,PASS
512,4096,512,533.975,531,PASS
512,4096,1024,974.95,967,PASS
512,4096,4096,4046.2,3813,PASS
512,4096,8192,9611.42,8791,PASS
512,6144,512,756.125,743,PASS
512,6144,1024,1483.1,1458,PASS
512,6144,4096,6474.67,5850,PASS
512,6144,8192,14569.5,12915,PASS
1024,512,512,211.575,202,PASS
1024,512,1024,319.125,304,PASS
1024,512,4096,1070.47,1039,PASS
1024,512,8192,2464.77,2214,PASS
1024,1024,512,312.325,295,PASS
1024,1024,1024,544.65,523,PASS
1024,1024,4096,2322.25,2024,PASS
1024,1024,8192,4596.5,4282,PASS
1024,4096,512,1250.3,977,PASS
1024,4096,1024,2168.2,1890,PASS
1024,4096,4096,8054.12,7563,PASS
1024,4096,8192,18143.1,16777,PASS
1024,6144,512,1459.43,1411,PASS
1024,6144,1024,3087.35,2783,PASS
1024,6144,4096,12404,11586,PASS
1024,6144,8192,28437.3,25364,PASS
4096,512,512,555.85,543,PASS
4096,512,1024,1183.53,1043,PASS
4096,512,4096,4422.45,3924,PASS
4096,512,8192,8180.65,7827,PASS
4096,1024,512,994.375,981,PASS
4096,1024,1024,1892.9,1878,PASS
4096,1024,4096,7615.67,7513,PASS
4096,1024,8192,16640.7,15713,PASS
4096,4096,512,3976.77,3722,PASS
4096,4096,1024,7740.7,7238,PASS
4096,4096,4096,30147.5,29654,PASS
4096,4096,8192,67542.8,62581,PASS
4096,6144,512,5595.8,5418,PASS
4096,6144,1024,11522.3,10856,PASS
4096,6144,4096,46228.9,44975,PASS
4096,6144,8192,110162,99507,PASS
8192,512,512,991.325,978,PASS
8192,512,1024,2230.6,1927,PASS
8192,512,4096,7781.75,7478,PASS
8192,512,8192,16354.8,15654,PASS
8192,1024,512,2142.23,1887,PASS
8192,1024,1024,3758.6,3621,PASS
8192,1024,4096,15588,14690,PASS
8192,1024,8192,31757.3,30282,PASS
8192,4096,512,7352.88,7115,PASS
8192,4096,1024,15040.6,14228,PASS
8192,4096,4096,59514.9,58561,PASS
8192,4096,8192,135669,121370,PASS
8192,6144,512,11498.8,10829,PASS
8192,6144,1024,22255.8,21429,PASS
8192,6144,4096,91984.6,88727,PASS
8192,6144,8192,214633,188485,PASS
