M,K,N,It1,Max,Status,shuffle_time
512,512,512,142.075,134,PASS,2046
512,512,1024,174.95,161,PASS,3422
512,512,4096,431.225,415,PASS,9906
512,512,8192,924.375,894,PASS,19108
512,1024,512,178.425,176,PASS,4899
512,1024,1024,233.425,226,PASS,8152
512,1024,4096,731.375,720,PASS,22716
512,1024,8192,1483.25,1468,PASS,42348
512,4096,512,421.45,411,PASS,17943
512,4096,1024,831.2,813,PASS,27004
512,4096,4096,3538.18,3249,PASS,87275
512,4096,8192,6592.17,6380,PASS,160798
512,6144,512,868.425,856,PASS,27725
512,6144,1024,2064.02,1702,PASS,44434
512,6144,4096,6909.7,6569,PASS,128494
512,6144,8192,13380.9,12808,PASS,251280
1024,512,512,177.025,172,PASS,3995
1024,512,1024,250.75,243,PASS,5028
1024,512,4096,723.825,714,PASS,11991
1024,512,8192,1972.8,1671,PASS,21087
1024,1024,512,247.675,237,PASS,7600
1024,1024,1024,392.325,379,PASS,8922
1024,1024,4096,1590.12,1313,PASS,23601
1024,1024,8192,2908.45,2772,PASS,45066
1024,4096,512,767.375,749,PASS,27035
1024,4096,1024,1611.4,1510,PASS,38022
1024,4096,4096,6688.35,6499,PASS,94642
1024,4096,8192,13541.4,12790,PASS,168459
1024,6144,512,1948.9,1686,PASS,43405
1024,6144,1024,3304.1,3110,PASS,60155
1024,6144,4096,13349.1,12828,PASS,148899
1024,6144,8192,26742.3,25816,PASS,269992
4096,512,512,542.375,518,PASS,9774
4096,512,1024,874.625,851,PASS,11570
4096,512,4096,3127.95,2903,PASS,17158
4096,512,8192,6791.8,6498,PASS,26267
4096,1024,512,839.75,829,PASS,20981
4096,1024,1024,1858.85,1704,PASS,22758
4096,1024,4096,5339.92,5115,PASS,35469
4096,1024,8192,11865.1,11253,PASS,58187
4096,4096,512,3213.8,2997,PASS,87197
4096,4096,1024,6685.9,6393,PASS,94417
4096,4096,4096,25849,25176,PASS,153624
4096,4096,8192,51894.4,51241,PASS,226354
4096,6144,512,6868.38,6558,PASS,131704
4096,6144,1024,13133.5,12541,PASS,148772
4096,6144,4096,51420.7,50717,PASS,231725
4096,6144,8192,104365,103328,PASS,354220
8192,512,512,1021,1007,PASS,19130
8192,512,1024,1585.18,1567,PASS,20226
8192,512,4096,5928.23,5636,PASS,26347
8192,512,8192,13558.8,12601,PASS,35190
8192,1024,512,1598.8,1579,PASS,42956
8192,1024,1024,2732.02,2685,PASS,42426
8192,1024,4096,10778.8,10182,PASS,58301
8192,1024,8192,22438.8,21957,PASS,80393
8192,4096,512,6714.38,6425,PASS,158989
8192,4096,1024,13523,12826,PASS,169445
8192,4096,4096,51640.8,50725,PASS,229013
8192,4096,8192,103235,102607,PASS,300066
8192,6144,512,13427.8,12598,PASS,249125
8192,6144,1024,26322.4,25644,PASS,266976
8192,6144,4096,102249,101708,PASS,351750
8192,6144,8192,205455,204638,PASS,468357
