M,K,N,It1,Status
512,512,512,1416.4,PASS
512,512,1024,2244.8,PASS
512,512,2560,4596.65,PASS
512,512,4096,6401.1,PASS
512,1024,512,2281.3,PASS
512,1024,1024,3863.35,PASS
512,1024,2560,4378.4,PASS
512,1024,4096,6734.95,PASS
512,2560,512,,FAIL
512,2560,1024,4271.1,PASS
512,2560,2560,9935.5,PASS
512,2560,4096,15886.7,PASS
512,4096,512,6415.35,PASS
512,4096,1024,6934.45,PASS
512,4096,2560,15692.2,PASS
512,4096,4096,27063.1,PASS
1024,512,512,2265.15,PASS
1024,512,1024,3430.15,PASS
1024,512,2560,4396.85,PASS
1024,512,4096,6600.3,PASS
1024,1024,512,3636.05,PASS
1024,1024,1024,6403,PASS
1024,1024,2560,8166.1,PASS
1024,1024,4096,12184.4,PASS
1024,2560,512,4686.9,PASS
1024,2560,1024,8811.2,PASS
1024,2560,2560,19559.8,PASS
1024,2560,4096,30634.9,PASS
1024,4096,512,6919.05,PASS
1024,4096,1024,13678.4,PASS
1024,4096,2560,30775.8,PASS
1024,4096,4096,50669.1,PASS
2560,512,512,4650.7,PASS
2560,512,1024,4136.05,PASS
2560,512,2560,10127.5,PASS
2560,512,4096,15796.5,PASS
2560,1024,512,4489.9,PASS
2560,1024,1024,8148.2,PASS
2560,1024,2560,19601.4,PASS
2560,1024,4096,30320,PASS
2560,2560,512,10113.3,PASS
2560,2560,1024,19499.8,PASS
2560,2560,2560,48393.2,PASS
2560,2560,4096,74606,PASS
2560,4096,512,15874,PASS
2560,4096,1024,30836.3,PASS
2560,4096,2560,76838.4,PASS
2560,4096,4096,120462,PASS
4096,512,512,6325.15,PASS
4096,512,1024,6439.75,PASS
4096,512,2560,15776.5,PASS
4096,512,4096,24970.2,PASS
4096,1024,512,6340.9,PASS
4096,1024,1024,12349.8,PASS
4096,1024,2560,30212.2,PASS
4096,1024,4096,48927.1,PASS
4096,2560,512,16136.3,PASS
4096,2560,1024,30713.1,PASS
4096,2560,2560,74647.3,PASS
4096,2560,4096,120492,PASS
4096,4096,512,26661.8,PASS
4096,4096,1024,50233.2,PASS
4096,4096,2560,120455,PASS
4096,4096,4096,190334,PASS
