M,K,N,It1,Status
512,512,512,1123.6,PASS
512,512,1024,1817.35,PASS
512,512,2560,3639.5,PASS
512,512,4096,4641.55,PASS
512,1024,512,1817.1,PASS
512,1024,1024,2999.35,PASS
512,1024,2560,2134.5,PASS
512,1024,4096,3066.3,PASS
512,2560,512,,FAIL
512,2560,1024,2195.35,PASS
512,2560,2560,4882.45,PASS
512,2560,4096,7691.8,PASS
512,4096,512,4810.6,PASS
512,4096,1024,3656.45,PASS
512,4096,2560,7184.35,PASS
512,4096,4096,13323.2,PASS
1024,512,512,1793.1,PASS
1024,512,1024,2592.2,PASS
1024,512,2560,2346.95,PASS
1024,512,4096,3121.3,PASS
1024,1024,512,2708.85,PASS
1024,1024,1024,4664,PASS
1024,1024,2560,3927.35,PASS
1024,1024,4096,5934.65,PASS
1024,2560,512,2451.35,PASS
1024,2560,1024,4573.8,PASS
1024,2560,2560,8970.5,PASS
1024,2560,4096,13628.2,PASS
1024,4096,512,3247.75,PASS
1024,4096,1024,6955.3,PASS
1024,4096,2560,13752,PASS
1024,4096,4096,24193.3,PASS
2560,512,512,3614.95,PASS
2560,512,1024,2395.55,PASS
2560,512,2560,4900.55,PASS
2560,512,4096,7521.45,PASS
2560,1024,512,2325.05,PASS
2560,1024,1024,3969.3,PASS
2560,1024,2560,8854.25,PASS
2560,1024,4096,13458.2,PASS
2560,2560,512,5213.4,PASS
2560,2560,1024,8898.15,PASS
2560,2560,2560,22502.4,PASS
2560,2560,4096,33032.4,PASS
2560,4096,512,7633.35,PASS
2560,4096,1024,13986.3,PASS
2560,4096,2560,35602.4,PASS
2560,4096,4096,54173.7,PASS
4096,512,512,4814.35,PASS
4096,512,1024,3060.1,PASS
4096,512,2560,7271.6,PASS
4096,512,4096,11244.6,PASS
4096,1024,512,3005.15,PASS
4096,1024,1024,5724.35,PASS
4096,1024,2560,13756.3,PASS
4096,1024,4096,22615.9,PASS
4096,2560,512,7507.8,PASS
4096,2560,1024,13665.5,PASS
4096,2560,2560,32997.9,PASS
4096,2560,4096,54291.8,PASS
4096,4096,512,12909.8,PASS
4096,4096,1024,23875.9,PASS
4096,4096,2560,54346.6,PASS
4096,4096,4096,84321.1,PASS
