M,K,N,It1,Status
512,512,512,2199.95,PASS
512,512,1024,3848.75,PASS
512,512,2560,8549.9,PASS
512,512,4096,12658.8,PASS
512,1024,512,3888.15,PASS
512,1024,1024,6808.65,PASS
512,1024,2560,13064.7,PASS
512,1024,4096,20633.8,PASS
512,2560,512,8482.1,PASS
512,2560,1024,13311.5,PASS
512,2560,2560,31891.8,PASS
512,2560,4096,51329.1,PASS
512,4096,512,12653.6,PASS
512,4096,1024,21159,PASS
512,4096,2560,51227.4,PASS
512,4096,4096,82592,PASS
1024,512,512,3747.15,PASS
1024,512,1024,6824.35,PASS
1024,512,2560,13309.2,PASS
1024,512,4096,20657.3,PASS
1024,1024,512,6608.65,PASS
1024,1024,1024,12668,PASS
1024,1024,2560,26008.3,PASS
1024,1024,4096,41159.6,PASS
1024,2560,512,13468,PASS
1024,2560,1024,26703.9,PASS
1024,2560,2560,63431.1,PASS
1024,2560,4096,101369,PASS
1024,4096,512,21458.6,PASS
1024,4096,1024,42115.2,PASS
1024,4096,2560,101525,PASS
1024,4096,4096,162659,PASS
2560,512,512,8244.55,PASS
2560,512,1024,13040.5,PASS
2560,512,2560,32129.7,PASS
2560,512,4096,50834.8,PASS
2560,1024,512,13316.7,PASS
2560,1024,1024,26198.2,PASS
2560,1024,2560,63646.7,PASS
2560,1024,4096,101235,PASS
2560,2560,512,32671.7,PASS
2560,2560,1024,63379,PASS
2560,2560,2560,157918,PASS
2560,2560,4096,250657,PASS
2560,4096,512,51224.1,PASS
2560,4096,1024,100939,PASS
2560,4096,2560,252273,PASS
2560,4096,4096,401718,PASS
4096,512,512,12652,PASS
4096,512,1024,20785.4,PASS
4096,512,2560,50897.9,PASS
4096,512,4096,81280.9,PASS
4096,1024,512,20819.8,PASS
4096,1024,1024,41036.1,PASS
4096,1024,2560,100813,PASS
4096,1024,4096,161705,PASS
4096,2560,512,51279.2,PASS
4096,2560,1024,101054,PASS
4096,2560,2560,250633,PASS
4096,2560,4096,401650,PASS
4096,4096,512,82396.4,PASS
4096,4096,1024,162366,PASS
4096,4096,2560,401588,PASS
4096,4096,4096,640669,PASS
