M,K,N,It1,Status
512,512,512,1223.8,PASS
512,512,1024,1840.55,PASS
512,512,2560,3574.25,PASS
512,512,4096,4997.9,PASS
512,1024,512,2032.85,PASS
512,1024,1024,2898.45,PASS
512,1024,2560,1914.5,PASS
512,1024,4096,2852.8,PASS
512,2560,512,3996.95,FAIL
512,2560,1024,2194,FAIL
512,2560,2560,4702,FAIL
512,2560,4096,7133,FAIL
512,4096,512,4972.20,FAIL
512,4096,1024,3012,FAIL
512,4096,2560,6965,FAIL
512,4096,4096,12792,FAIL
1024,512,512,2034.8,PASS
1024,512,1024,2812.55,PASS
1024,512,2560,1694.45,PASS
1024,512,4096,2745.95,PASS
1024,1024,512,2698.05,PASS
1024,1024,1024,4852.85,PASS
1024,1024,2560,3443.6,PASS
1024,1024,4096,5630.85,PASS
1024,2560,512,2415,FAIL
1024,2560,1024,4192,FAIL
1024,2560,2560,8543,FAIL
1024,2560,4096,13028,FAIL
1024,4096,512,2812,FAIL
1024,4096,1024,6305,FAIL
1024,4096,2560,12490,FAIL
1024,4096,4096,23035,FAIL
2560,512,512,3659.45,PASS
2560,512,1024,1896.8,PASS
2560,512,2560,4195.85,PASS
2560,512,4096,6599,PASS
2560,1024,512,1673.2,PASS
2560,1024,1024,2920.05,PASS
2560,1024,2560,7859.3,PASS
2560,1024,4096,12391.6,PASS
2560,2560,512,4199,FAIL
2560,2560,1024,7755,FAIL
2560,2560,2560,20379,FAIL
2560,2560,4096,30483,FAIL
2560,4096,512,6195,FAIL
2560,4096,1024,11657,FAIL
2560,4096,2560,32122,FAIL
2560,4096,4096,51363,FAIL
4096,512,512,4773.8,PASS
4096,512,1024,2414.55,PASS
4096,512,2560,6149.15,PASS
4096,512,4096,10045.7,PASS
4096,1024,512,2572,PASS
4096,1024,1024,4647.55,PASS
4096,1024,2560,12127.3,PASS
4096,1024,4096,20548.4,PASS
4096,2560,512,6210,FAIL
4096,2560,1024,11367,FAIL
4096,2560,2560,29558,FAIL
4096,2560,4096,50716,FAIL
4096,4096,512,11302,FAIL
4096,4096,1024,20419,FAIL
4096,4096,2560,49120,FAIL
4096,4096,4096,78402,FAIL
