M,K,N,It1,Status,shuffle_time
512,512,512,802.95,PASS,3385.3
512,512,1024,1052.95,PASS,6190.4
512,512,2560,970.2,PASS,12381.3
512,512,4096,1090.75,PASS,18213.3
512,1024,512,1030.55,PASS,6103.5
512,1024,1024,1591.45,PASS,9045.25
512,1024,2560,1168.1,PASS,18771.5
512,1024,4096,1720.8,PASS,29897.8
512,2560,512,1932.90,FAIL,12098.05
512,2560,1024,2903.75,FAIL,19044.10
512,2560,2560,2655,FAIL,42486
512,2560,4096,5863,FAIL,63109
512,4096,512,2492.80,FAIL,19040.35
512,4096,1024,3483.70,FAIL,29701.20
512,4096,2560,6394,FAIL,61158
512,4096,4096,7581,FAIL,93455
1024,512,512,864.6,PASS,5771
1024,512,1024,1345.55,PASS,9048.9
1024,512,2560,1174.1,PASS,18868.4
1024,512,4096,1391.2,PASS,27970.3
1024,1024,512,1481.8,PASS,9125.4
1024,1024,1024,2552.85,PASS,13155.8
1024,1024,2560,1710.45,PASS,26595.7
1024,1024,4096,2518.6,PASS,40225.6
1024,2560,512,3017.45,FAIL,19693.00
1024,2560,1024,5407.35,FAIL,26717.75
1024,2560,2560,3730,FAIL,53147
1024,2560,4096,7419,FAIL,76534
1024,4096,512,3634.55,FAIL,29035.05
1024,4096,1024,5938.80,FAIL,39608.60
1024,4096,2560,8307,FAIL,77311
1024,4096,4096,10764,FAIL,112946
2560,512,512,755.55,PASS,11910
2560,512,1024,1134.25,PASS,18472.8
2560,512,2560,2083.2,PASS,38102.1
2560,512,4096,2460.7,PASS,59850.1
2560,1024,512,1182.25,PASS,19015.7
2560,1024,1024,1784.25,PASS,30755.1
2560,1024,2560,3449.65,PASS,50107.9
2560,1024,4096,4669.75,PASS,74264.4
2560,2560,512,2766,FAIL,42297
2560,2560,1024,3803,FAIL,52807
2560,2560,2560,9172,FAIL,88587
2560,2560,4096,11912,FAIL,122198
2560,4096,512,6159,FAIL,60819
2560,4096,1024,8316,FAIL,74183
2560,4096,2560,14071,FAIL,122791
2560,4096,4096,20732,FAIL,169627
4096,512,512,1143,PASS,18715.3
4096,512,1024,1694,PASS,28165.8
4096,512,2560,2657.45,PASS,60597.9
4096,512,4096,4048.55,PASS,90004.2
4096,1024,512,2158.15,PASS,28988.3
4096,1024,1024,2796.1,PASS,40096.2
4096,1024,2560,4331.65,PASS,74914.9
4096,1024,4096,6875.55,PASS,107752
4096,2560,512,5936,FAIL,61577
4096,2560,1024,7489,FAIL,76949
4096,2560,2560,11839,FAIL,121020
4096,2560,4096,16845,FAIL,170053
4096,4096,512,7588,FAIL,93796
4096,4096,1024,10764,FAIL,113368
4096,4096,2560,20668,FAIL,166240
4096,4096,4096,30336,FAIL,223479
